        FID  IID    SOL           C1           C2 
  HGDP00514    1      0   -0.0219257    -0.062595 
  HGDP00515    1      0   -0.0215551   -0.0637053 
  HGDP00516    1      0   -0.0228369   -0.0638813 
  HGDP00517    1      0   -0.0224017   -0.0630852 
  HGDP00518    1      0   -0.0223316    -0.063287 
  HGDP00519    1      0   -0.0218765   -0.0622719 
  HGDP00520    1      0   -0.0247471   -0.0621535 
  HGDP00521    1      0   -0.0234149   -0.0635806 
  HGDP00522    1      0   -0.0223183   -0.0642688 
  HGDP00523    1      0   -0.0203948   -0.0632114 
  HGDP00524    1      0   -0.0223804   -0.0641838 
  HGDP00525    1      0   -0.0215071   -0.0611107 
  HGDP00526    1      0   -0.0208606   -0.0635266 
  HGDP00527    1      0    -0.021257   -0.0633492 
  HGDP00528    1      0   -0.0222073   -0.0608095 
  HGDP00529    1      0   -0.0223818   -0.0642745 
  HGDP00530    1      0   -0.0228367   -0.0651407 
  HGDP00531    1      0   -0.0244172   -0.0662275 
  HGDP00532    1      0   -0.0205318   -0.0652483 
  HGDP00533    1      0   -0.0195144   -0.0637262 
  HGDP00534    1      0   -0.0208155   -0.0640051 
  HGDP00535    1      0   -0.0197406   -0.0644972 
  HGDP00536    1      0    -0.023281   -0.0637779 
  HGDP00537    1      0   -0.0222326   -0.0639616 
  HGDP00538    1      0   -0.0235665   -0.0638023 
  HGDP00539    1      0    -0.023851   -0.0650206 
  HGDP00540    1      0     0.026106    0.0294901 
  HGDP00541    1      0    0.0260622    0.0281608 
  HGDP00542    1      0    0.0254839    0.0276518 
  HGDP00543    1      0    0.0262223    0.0292236 
  HGDP00544    1      0    0.0328462    0.0287109 
  HGDP00545    1      0    0.0248517    0.0279672 
  HGDP00546    1      0    0.0245316    0.0282961 
  HGDP00547    1      0    0.0260894    0.0288607 
  HGDP00548    1      0    0.0258973    0.0287689 
  HGDP00549    1      0    0.0244787    0.0288051 
  HGDP00550    1      0    0.0258733    0.0279223 
  HGDP00551    1      0    0.0256153    0.0287987 
  HGDP00552    1      0    0.0245556    0.0284133 
  HGDP00553    1      0    0.0256291    0.0279625 
  HGDP00554    1      0    0.0255044     0.028343 
  HGDP00555    1      0    0.0246287     0.027826 
  HGDP00556    1      0    0.0252053    0.0284291 
  HGDP00557    1      0     -0.02986   -0.0599326 
  HGDP00558    1      0    -0.030333    -0.059777 
  HGDP00559    1      0   -0.0292695    -0.059222 
  HGDP00560    1      0   -0.0298847   -0.0595701 
  HGDP00561    1      0    -0.029658   -0.0576391 
  HGDP00562    1      0   -0.0298648   -0.0580301 
  HGDP00563    1      0    -0.031357    -0.057464 
  HGDP00564    1      0   -0.0302224   -0.0595844 
  HGDP00565    1      0   -0.0315066   -0.0580942 
  HGDP00566    1      0   -0.0303415   -0.0565291 
  HGDP00567    1      0   -0.0319502   -0.0592906 
  HGDP00568    1      0   -0.0289451   -0.0588395 
  HGDP00569    1      0   -0.0321726   -0.0577469 
  HGDP00570    1      0   -0.0308697   -0.0571575 
  HGDP00571    1      0   -0.0285164    -0.059801 
  HGDP00572    1      0   -0.0314842   -0.0581241 
  HGDP00573    1      0   -0.0308685   -0.0579197 
  HGDP00574    1      0   -0.0303906   -0.0605739 
  HGDP00575    1      0   -0.0301916   -0.0606899 
  HGDP00576    1      0    -0.033739   -0.0522291 
  HGDP00577    1      0   -0.0293826   -0.0573051 
  HGDP00578    1      0   -0.0304002   -0.0561381 
  HGDP00579    1      0   -0.0285487   -0.0581399 
  HGDP00580    1      0   -0.0297651   -0.0572758 
  HGDP00581    1      0   -0.0272475   -0.0579555 
  HGDP00582    1      0   -0.0296719   -0.0566566 
  HGDP00583    1      0   -0.0294413   -0.0598463 
  HGDP00584    1      0   -0.0300862   -0.0577016 
  HGDP00585    1      0   -0.0288836   -0.0609249 
  HGDP00586    1      0   -0.0308023   -0.0575852 
  HGDP00587    1      0   -0.0292724   -0.0578295 
  HGDP00588    1      0   -0.0308072   -0.0591913 
  HGDP00590    1      0   -0.0279153   -0.0608022 
  HGDP00591    1      0   -0.0293187   -0.0587807 
  HGDP00592    1      0   -0.0280578   -0.0589556 
  HGDP00594    1      0   -0.0307395   -0.0577627 
  HGDP00595    1      0   -0.0285769   -0.0577153 
  HGDP00597    1      0   -0.0284303   -0.0576892 
  HGDP00598    1      0   -0.0311644    -0.056046 
  HGDP00599    1      0   -0.0284745   -0.0599246 
  HGDP00600    1      0   -0.0283396   -0.0589299 
  HGDP00601    1      0   -0.0319641   -0.0596526 
  HGDP00602    1      0   -0.0296514   -0.0589534 
  HGDP00603    1      0   -0.0320339    -0.056552 
  HGDP00604    1      0   -0.0291495   -0.0592677 
  HGDP00605    1      0   -0.0274981   -0.0590926 
  HGDP00606    1      0   -0.0312565   -0.0569785 
  HGDP00607    1      0   -0.0384684   -0.0477709 
  HGDP00608    1      0   -0.0370639   -0.0500984 
  HGDP00609    1      0   -0.0389186   -0.0428998 
  HGDP00610    1      0    -0.038333    -0.052206 
  HGDP00611    1      0   -0.0448972   -0.0347507 
  HGDP00612    1      0   -0.0375472   -0.0533987 
  HGDP00613    1      0   -0.0354377   -0.0462153 
  HGDP00614    1      0   -0.0375788   -0.0470782 
  HGDP00615    1      0   -0.0341696   -0.0483612 
  HGDP00616    1      0   -0.0356709   -0.0524357 
  HGDP00617    1      0   -0.0394273   -0.0450909 
  HGDP00618    1      0   -0.0372141   -0.0535726 
  HGDP00619    1      0   -0.0389232   -0.0482207 
  HGDP00620    1      0   -0.0404218    -0.040278 
  HGDP00621    1      0   -0.0996926    0.0667244 
  HGDP00622    1      0   -0.0372649   -0.0465768 
  HGDP00623    1      0    -0.038775   -0.0490516 
  HGDP00624    1      0   -0.0411843   -0.0497794 
  HGDP00625    1      0   -0.0347893   -0.0479735 
  HGDP00626    1      0   -0.0346164   -0.0475447 
  HGDP00627    1      0    -0.044664   -0.0365244 
  HGDP00628    1      0   -0.0355241   -0.0449964 
  HGDP00629    1      0   -0.0356738   -0.0430234 
  HGDP00630    1      0    -0.035972   -0.0512724 
  HGDP00631    1      0     -0.03727   -0.0525426 
  HGDP00632    1      0   -0.0427371   -0.0390822 
  HGDP00633    1      0   -0.0349891   -0.0519748 
  HGDP00634    1      0   -0.0414446   -0.0407131 
  HGDP00635    1      0   -0.0381407   -0.0426947 
  HGDP00636    1      0   -0.0374521   -0.0505556 
  HGDP00637    1      0   -0.0369975   -0.0443388 
  HGDP00638    1      0   -0.0437549   -0.0393261 
  HGDP00639    1      0    -0.037627   -0.0478678 
  HGDP00640    1      0   -0.0433418   -0.0367098 
  HGDP00641    1      0   -0.0379846   -0.0511154 
  HGDP00642    1      0   -0.0367915   -0.0487822 
  HGDP00643    1      0    -0.035584   -0.0531879 
  HGDP00644    1      0   -0.0348317   -0.0479991 
  HGDP00645    1      0    -0.038888   -0.0425644 
  HGDP00646    1      0   -0.0487035   -0.0359464 
  HGDP00647    1      0   -0.0339557   -0.0460158 
  HGDP00648    1      0    -0.036226   -0.0511322 
  HGDP00649    1      0   -0.0344059   -0.0528621 
  HGDP00650    1      0    -0.035818   -0.0521267 
  HGDP00651    1      0   -0.0366454   -0.0505372 
  HGDP00653    1      0   -0.0356784   -0.0521527 
  HGDP00654    1      0   -0.0326117   -0.0494686 
  HGDP00655    1      0    0.0328978     0.029635 
  HGDP00656    1      0    0.0333793    0.0299567 
  HGDP00657    1      0    0.0330514     0.030293 
  HGDP00658    1      0    0.0347406    0.0296715 
  HGDP00661    1      0    0.0342731    0.0289119 
  HGDP00662    1      0    0.0342506    0.0308973 
  HGDP00663    1      0    0.0328695    0.0298615 
  HGDP00664    1      0    0.0339712     0.028885 
  HGDP00665    1      0   -0.0287868   -0.0652265 
  HGDP00666    1      0   -0.0286431   -0.0674543 
  HGDP00667    1      0   -0.0275809   -0.0675378 
  HGDP00668    1      0    -0.029212   -0.0670924 
  HGDP00669    1      0    -0.028987   -0.0674183 
  HGDP00670    1      0   -0.0290161   -0.0663208 
  HGDP00671    1      0   -0.0296538    -0.068025 
  HGDP00672    1      0    -0.028164   -0.0675251 
  HGDP00673    1      0   -0.0290906   -0.0666042 
  HGDP00674    1      0   -0.0284533   -0.0677279 
  HGDP00675    1      0   -0.0343521   -0.0512229 
  HGDP00676    1      0   -0.0335168   -0.0503126 
  HGDP00677    1      0   -0.0348086   -0.0507551 
  HGDP00678    1      0   -0.0341823   -0.0496156 
  HGDP00679    1      0   -0.0344156   -0.0531923 
  HGDP00680    1      0   -0.0391093   -0.0441984 
  HGDP00681    1      0   -0.0351053   -0.0504477 
  HGDP00682    1      0   -0.0341422   -0.0505941 
  HGDP00683    1      0   -0.0350949   -0.0489911 
  HGDP00684    1      0   -0.0353583   -0.0503549 
  HGDP00685    1      0   -0.0412034   -0.0449864 
  HGDP00686    1      0   -0.0355533   -0.0463054 
  HGDP00687    1      0    -0.034411    -0.052766 
  HGDP00688    1      0   -0.0336834   -0.0502289 
  HGDP00689    1      0     -0.03624   -0.0516265 
  HGDP00690    1      0    -0.033564   -0.0522773 
  HGDP00691    1      0   -0.0363756   -0.0491508 
  HGDP00692    1      0   -0.0456825   -0.0324465 
  HGDP00693    1      0   -0.0342518   -0.0511853 
  HGDP00694    1      0   -0.0352317   -0.0527866 
  HGDP00695    1      0   -0.0352038     -0.05217 
  HGDP00696    1      0   -0.0357639   -0.0512688 
  HGDP00697    1      0   -0.0351793   -0.0533646 
  HGDP00698    1      0   -0.0349606   -0.0480769 
  HGDP00699    1      0   -0.0363578    -0.049874 
  HGDP00700    1      0   -0.0375569   -0.0472703 
  HGDP00701    1      0   -0.0363957    -0.052235 
  HGDP00702    1      0    0.0863451    0.0349301 
  HGDP00703    1      0    0.0655456    0.0287424 
  HGDP00704    1      0    0.0852773    0.0333042 
  HGDP00705    1      0    0.0875968    0.0353606 
  HGDP00706    1      0    0.0864166    0.0345607 
  HGDP00707    1      0    0.0850509    0.0339326 
  HGDP00708    1      0    0.0868284    0.0357018 
  HGDP00709    1      0    0.0867864    0.0338561 
  HGDP00710    1      0    0.0873296    0.0348184 
  HGDP00711    1      0    0.0538397    0.0300152 
  HGDP00712    1      0    0.0651355    0.0372329 
  HGDP00713    1      0    0.0535918    0.0287313 
  HGDP00714    1      0    0.0584912    0.0325579 
  HGDP00715    1      0    0.0500881    0.0272145 
  HGDP00716    1      0    0.0595765    0.0358716 
  HGDP00717    1      0    0.0544465    0.0315867 
  HGDP00718    1      0    0.0545749     0.029634 
  HGDP00719    1      0    0.0577164    0.0326374 
  HGDP00720    1      0    0.0544376    0.0294237 
  HGDP00721    1      0    0.0525556    0.0288761 
  HGDP00722    1      0   -0.0346213   -0.0477279 
  HGDP00723    1      0   -0.0380564   -0.0445325 
  HGDP00724    1      0    -0.036121   -0.0499081 
  HGDP00725    1      0   -0.0342462    -0.050125 
  HGDP00726    1      0   -0.0361983   -0.0492585 
  HGDP00727    1      0   -0.0350623   -0.0514173 
  HGDP00728    1      0   -0.0347079   -0.0509142 
  HGDP00729    1      0   -0.0348155   -0.0485839 
  HGDP00730    1      0   -0.0345711   -0.0515295 
  HGDP00731    1      0   -0.0386494   -0.0438276 
  HGDP00732    1      0   -0.0364572   -0.0529197 
  HGDP00733    1      0   -0.0341364   -0.0509043 
  HGDP00734    1      0   -0.0343172   -0.0493569 
  HGDP00735    1      0   -0.0347724   -0.0505658 
  HGDP00736    1      0   -0.0341097   -0.0504603 
  HGDP00737    1      0   -0.0351052   -0.0519041 
  HGDP00738    1      0   -0.0419445   -0.0374881 
  HGDP00739    1      0   -0.0380436   -0.0450025 
  HGDP00740    1      0   -0.0341082   -0.0525367 
  HGDP00741    1      0   -0.0349678   -0.0474772 
  HGDP00742    1      0   -0.0326914   -0.0502908 
  HGDP00743    1      0   -0.0354836   -0.0474348 
  HGDP00744    1      0   -0.0425032   -0.0388012 
  HGDP00745    1      0   -0.0323591    -0.047448 
  HGDP00746    1      0   -0.0384604    -0.049074 
  HGDP00747    1      0    0.0701795    0.0387951 
  HGDP00748    1      0    0.0700331    0.0392839 
  HGDP00749    1      0    0.0693962    0.0399198 
  HGDP00750    1      0    0.0697867     0.038884 
  HGDP00751    1      0    0.0679537    0.0378835 
  HGDP00752    1      0    0.0689442    0.0390643 
  HGDP00753    1      0    0.0690996    0.0386633 
  HGDP00755    1      0    0.0700408    0.0390721 
  HGDP00756    1      0    0.0686945    0.0382044 
  HGDP00757    1      0      0.06846    0.0380225 
  HGDP00758    1      0    0.0698239    0.0375123 
  HGDP00759    1      0    0.0707602    0.0409285 
  HGDP00760    1      0    0.0704512    0.0394759 
  HGDP00761    1      0    0.0699313    0.0382199 
  HGDP00762    1      0    0.0693291    0.0398999 
  HGDP00763    1      0     0.070282    0.0391203 
  HGDP00764    1      0    0.0689976     0.038659 
  HGDP00765    1      0    0.0699735    0.0399912 
  HGDP00766    1      0    0.0704619    0.0384646 
  HGDP00767    1      0    0.0701519    0.0393006 
  HGDP00768    1      0     0.070076    0.0398991 
  HGDP00769    1      0    0.0710746    0.0385569 
  HGDP00770    1      0    0.0743176    0.0257331 
  HGDP00771    1      0    0.0702028    0.0382723 
  HGDP00772    1      0    0.0701798    0.0389411 
  HGDP00773    1      0    0.0688047    0.0379205 
  HGDP00774    1      0    0.0725048    0.0413509 
  HGDP00775    1      0    0.0695091    0.0396222 
  HGDP00776    1      0    0.0689891    0.0393092 
  HGDP00777    1      0    0.0683902     0.036968 
  HGDP00778    1      0    0.0691786    0.0398788 
  HGDP00779    1      0    0.0697607    0.0397809 
  HGDP00780    1      0    0.0665786     0.038736 
  HGDP00781    1      0    0.0674185    0.0407333 
  HGDP00782    1      0    0.0697042    0.0392097 
  HGDP00783    1      0    0.0705109    0.0372171 
  HGDP00784    1      0    0.0673582    0.0375325 
  HGDP00785    1      0    0.0699953    0.0384158 
  HGDP00786    1      0    0.0708428    0.0413016 
  HGDP00787    1      0    0.0320859    0.0297236 
  HGDP00788    1      0    0.0319976    0.0302027 
  HGDP00789    1      0    0.0324015    0.0311591 
  HGDP00790    1      0    0.0692891    0.0384307 
  HGDP00791    1      0     0.068336    0.0390042 
  HGDP00792    1      0    0.0860033    0.0340791 
  HGDP00793    1      0    0.0742803    0.0316707 
  HGDP00794    1      0   -0.0196035   -0.0617191 
  HGDP00795    1      0   -0.0206981   -0.0627571 
  HGDP00796    1      0   -0.0181213   -0.0630226 
  HGDP00797    1      0   -0.0200281   -0.0639393 
  HGDP00798    1      0   -0.0209142   -0.0623649 
  HGDP00799    1      0   -0.0208733    -0.064225 
  HGDP00800    1      0   -0.0192375   -0.0638695 
  HGDP00801    1      0   -0.0204682   -0.0632274 
  HGDP00802    1      0   -0.0191866   -0.0630117 
  HGDP00803    1      0   -0.0197275   -0.0638518 
  HGDP00804    1      0   -0.0185043   -0.0626794 
  HGDP00805    1      0   -0.0188806   -0.0641282 
  HGDP00806    1      0   -0.0209786   -0.0668699 
  HGDP00807    1      0   -0.0196423   -0.0625525 
  HGDP00808    1      0   -0.0181907   -0.0616737 
  HGDP00810    1      0   -0.0209242   -0.0640381 
  HGDP00811    1      0    0.0700901    0.0399371 
  HGDP00812    1      0     0.067358    0.0395288 
  HGDP00813    1      0    0.0710638    0.0413409 
  HGDP00814    1      0    0.0689143    0.0387261 
  HGDP00815    1      0    0.0700261    0.0394255 
  HGDP00817    1      0     0.068603    0.0384359 
  HGDP00818    1      0    0.0702293    0.0407982 
  HGDP00819    1      0    0.0697867    0.0402424 
  HGDP00820    1      0      0.07004    0.0383518 
  HGDP00821    1      0    0.0685903    0.0400669 
  HGDP00822    1      0    0.0689718    0.0398098 
